rank,code,title,carat,weight,purity,pure_gold_equivalent,price,shipping,total_price,gold_value_per_gram,theoretical_gold_value,difference,price_vs_gold_pct,category,store,image_url,url
1,045200306189,18ct Yellow Gold Necklace 40cm 30.96G,18,30.96,0.75,23.22,549.0,17.2,566.2,147.57,4568.91,-4002.71,-87.61,Necklace,"Maroochydore, QLD",https://www.cashconverters.com.au/globalassets/Catalogs/7c4b0ef8-ea5f-496b-9f4a-b44e00224235.jpg,https://www.cashconverters.com.au/shop/jewellery-fashion/jewellery/necklaces-chains/necklace/045200306189
2,032400302836,18ct White Gold Necklace 56cm 47.15G,18,47.15,0.75,35.362,949.0,14.2,963.2,147.57,6958.14,-5994.94,-86.16,Necklace,"Belmont, WA",https://www.cashconverters.com.au/globalassets/Catalogs/63a2e682-d273-4f07-a4f7-b3e2002ba6fa.jpg,https://www.cashconverters.com.au/shop/jewellery-fashion/jewellery/necklaces-chains/necklace/032400302836
3,000800314006,14ct Yellow Gold Necklace 46cm 50.3G,14,50.3,0.585,29.425,999.0,21.2,1020.2,115.11,5789.94,-4769.74,-82.38,Necklace,"Perth City Luxe, WA",https://www.cashconverters.com.au/globalassets/Catalogs/3792760b-1902-4393-a4d9-b459006b1fbc.jpg,https://www.cashconverters.com.au/shop/jewellery-fashion/jewellery/necklaces-chains/necklace/000800314006
4,042300294975,14ct Phoenix & Dragon Yellow Gold Pendant 28.94G,14,28.94,0.585,16.93,1199.0,0.0,1199.0,115.11,3331.23,-2132.23,-64.01,Pendant,"Bunbury, WA",https://www.cashconverters.com.au/globalassets/Catalogs/befe6cec-eedd-43f2-a68a-b4cc002d8ae8.jpg,https://www.cashconverters.com.au/shop/jewellery-fashion/jewellery/charms-pendants/pendant/042300294975
5,002500538508,22ct Yellow Gold Pendant 13.45G,22,13.45,0.916,12.32,999.0,16.0,1015.0,180.24,2424.2,-1409.2,-58.13,Pendant,"Goodna, QLD",https://www.cashconverters.com.au/globalassets/Catalogs/6e14ae1f-8624-487f-9a2d-b4c7000c8cab.jpg,https://www.cashconverters.com.au/shop/jewellery-fashion/jewellery/charms-pendants/pendant/002500538508
6,014600465260,24ct Yellow Gold Bracelet - 36.5G,24,36.5,0.999,36.464,3175.0,0.0,3175.0,196.57,7174.78,-3999.78,-55.75,Bracelet,"Ringwood, VIC",https://www.cashconverters.com.au/globalassets/Catalogs/1aa51127-9eb7-4aa6-92e4-b4c8003743d0.jpg,https://www.cashconverters.com.au/shop/jewellery-fashion/jewellery/bracelets-bangles/bracelet/014600465260
7,017200138963,18ct Yellow Gold Pendant 6.49G,18,6.49,0.75,4.867,529.0,23.2,552.2,147.57,957.76,-405.56,-42.34,Pendant,"Merrylands, NSW",https://www.cashconverters.com.au/globalassets/Catalogs/4cdc7030-74ce-4597-8512-b4870054828d.jpg,https://www.cashconverters.com.au/shop/jewellery-fashion/jewellery/charms-pendants/pendant/017200138963
8,027900437180,18ct Yellow Gold Pendant 13G,18,13.0,0.75,9.75,1299.0,0.0,1299.0,147.57,1918.47,-619.47,-32.29,Pendant,"Sunshine, VIC",https://www.cashconverters.com.au/globalassets/Catalogs/dc270ede-b67d-4bba-9df7-b475005ac3de.jpg,https://www.cashconverters.com.au/shop/jewellery-fashion/jewellery/charms-pendants/pendant/027900437180
9,033900207758,18ct Yellow Gold Pendant 7.95G,18,7.95,0.75,5.963,799.0,18.2,817.2,147.57,1173.22,-356.02,-30.35,Pendant,"Fairfield, NSW",https://www.cashconverters.com.au/globalassets/Catalogs/b44dee62-929e-4c52-94c9-b37f017b3800.jpg,https://www.cashconverters.com.au/shop/jewellery-fashion/jewellery/charms-pendants/pendant/033900207758
10,041600336637,18ct Yellow Gold Pendant 5.8G,18,5.8,0.75,4.35,599.0,17.2,616.2,147.57,855.93,-239.73,-28.01,Pendant,"Virginia, QLD",https://www.cashconverters.com.au/globalassets/Catalogs/7aba6642-8bf9-4821-8810-b4a6001ab216.jpg,https://www.cashconverters.com.au/shop/jewellery-fashion/jewellery/charms-pendants/pendant/041600336637
11,045200303674,14ct Yellow Gold Pendant 18.71G,14,18.71,0.585,10.945,1599.0,0.0,1599.0,115.11,2153.67,-554.67,-25.75,Pendant,"Maroochydore, QLD",https://www.cashconverters.com.au/globalassets/Catalogs/1950386f-9e4b-4461-93c1-b4030044250b.jpg,https://www.cashconverters.com.au/shop/jewellery-fashion/jewellery/charms-pendants/pendant/045200303674
